,provincia,comunidad autonoma,titulo,precio,habitaciones,metros,total inmuebles/comunidad
58,La Coruña,Galicia,"Piso en alcalde soto gonzalez, Falperra-Santa Lucía, A Coruña",590,1,51,1751
59,La Coruña,Galicia,"Piso en avenida del pasaje, Eirís, A Coruña",650,2,51,1751
60,La Coruña,Galicia,"Casa o chalet independiente en lugar seixeda, Sada",560,4,107,1751
61,La Coruña,Galicia,"Piso en avenida de hercules, Monte Alto - Zalaeta - Atocha, A Coruña",425,3,62,1751
62,La Coruña,Galicia,"Piso en avenida de ferrol, Conxo, Santiago de Compostela",760,2,93,1751
63,La Coruña,Galicia,"Piso en avenida PASAXE, Eirís, A Coruña",750,2,61,1751
64,La Coruña,Galicia,"Chalet pareado en calle Destellos, Perillo, Oleiros",2800,3,240,1751
65,La Coruña,Galicia,"Piso en calle la torre, Monte Alto - Zalaeta - Atocha, A Coruña",700,2,88,1751
66,La Coruña,Galicia,"Estudio en pexigo de arriba, Ensanche - Sar, Santiago de Compostela",600,,Bajo exterior sin ascen,1751
67,La Coruña,Galicia,"Piso en padre feijoo, Ensanche, A Coruña",900,3,110,1751
68,La Coruña,Galicia,"Piso en camino Castela, Alto del Castaño, Narón",550,3,100,1751
69,La Coruña,Galicia,"Piso en Santiago de la Iglesia, Juan Flórez-San Pablo, A Coruña",700,1,84,1751
70,La Coruña,Galicia,"Piso en estreita de san andres, Ciudad Vieja - Centro, A Coruña",675,1,58,1751
71,La Coruña,Galicia,"Piso en avenida das mariñas, 244, Nós, Oleiros",700,4,144,1751
72,La Coruña,Galicia,"Piso en As Trece Rosas, 4, Campus sur - Santa Marta, Santiago de Compostela",775,3,84,1751
73,La Coruña,Galicia,"Casa o chalet independiente en Lugar Folgueira, s/n, Miño",900,4,278,1751
74,La Coruña,Galicia,"Piso en Primo de Rivera, Cuatro Caminos - Plaza de la Cubela, A Coruña",875,2,65,1751
75,La Coruña,Galicia,"Piso en calle Alameda, Ensanche, A Coruña",800,3,66,1751
76,La Coruña,Galicia,"Piso en avenida mugardos, Ares",800,2,85,1751
77,La Coruña,Galicia,"Piso en Eusebio da Guarda, 17, Os Mallos, A Coruña",600,2,75,1751
